display  D   display_settings.c:400  _al_score_display_settings       [   0.08962] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08969] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08977] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08982] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08989] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08996] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09001] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09007] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09020] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09027] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09034] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09040] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09046] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09051] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09058] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09064] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09070] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09076] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09083] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09089] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09095] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09101] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09107] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09113] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09120] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09125] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09131] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09136] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09142] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09148] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09153] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09157] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09163] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09169] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09176] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09182] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09189] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09195] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09203] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09209] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09215] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09219] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09224] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09228] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09233] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09239] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09244] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09250] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09255] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09260] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09265] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09270] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09276] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09281] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09286] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09291] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09296] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09301] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09305] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09309] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09314] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.09318] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09323] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.09327] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09332] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.09336] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09342] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09346] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09351] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09354] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09359] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.09364] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09371] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.09376] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09381] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.09384] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09388] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09391] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09396] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09400] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09405] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.09408] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
